LipidName	LipidGroup	LipidClass	LipidSubClass	UnsaturationIndex	ChainLength	ChainLengthGroup	SL_LCB	SL_FA	SL_OH	CL_FA
CL70:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:3_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:3_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:3_C18:1	CL	CL	CL	CL_3_DB	70	NA	NA	NA	NA	18_1_DB
CL70:4_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:4_C18:1	CL	CL	CL	CL_4_DB	70	NA	NA	NA	NA	18_1_DB
CL72:0_C18:0	CL	CL	CL	CL_0_DB	72	NA	NA	NA	NA	18_0_DB
CL72:1_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL72:1_C18:1	CL	CL	CL	CL_1_DB	72	NA	NA	NA	NA	18_1_DB
CL72:2_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL72:2_C18:1	CL	CL	CL	CL_2_DB	72	NA	NA	NA	NA	18_1_DB
CL72:3_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL72:3_C18:1	CL	CL	CL	CL_3_DB	72	NA	NA	NA	NA	18_1_DB
CL72:4_C18:1	CL	CL	CL	CL_4_DB	72	NA	NA	NA	NA	18_1_DB
DHC-A 18:0/14:0	SL	CER	DHC	NA	32	NA	18	14	A	NA
DHC-A 18:0/16:0	SL	CER	DHC	NA	34	NA	18	16	A	NA
DHC-A 18:0/18:0	SL	CER	DHC	NA	36	NA	18	18	A	NA
DHC-A 18:0/20:0	SL	CER	DHC	NA	38	NA	18	20	A	NA
DHC-A 18:0/22:0	SL	CER	DHC	NA	40	NA	18	22	A	NA
DHC-A 18:0/24:0	SL	CER	DHC	NA	42	NA	18	24	A	NA
DHC-A 18:0/26:0	SL	CER	DHC	NA	44	NA	18	26	A	NA
DHC-A 20:0/14:0	SL	CER	DHC	NA	34	NA	20	14	A	NA
DHC-A 20:0/16:0	SL	CER	DHC	NA	36	NA	20	16	A	NA
DHC-A 20:0/18:0	SL	CER	DHC	NA	38	NA	20	18	A	NA
DHC-A 20:0/20:0	SL	CER	DHC	NA	40	NA	20	20	A	NA
DHC-A 20:0/22:0	SL	CER	DHC	NA	42	NA	20	22	A	NA
DHC-A 20:0/24:0	SL	CER	DHC	NA	44	NA	20	24	A	NA
DHC-A 20:0/26:0	SL	CER	DHC	NA	46	NA	20	26	A	NA
DHC-Bp 18:0/14:0	SL	CER	DHC	NA	32	NA	18	14	Bp	NA
DHC-Bp 18:0/16:0	SL	CER	DHC	NA	34	NA	18	16	Bp	NA
DHC-Bp 18:0/18:0	SL	CER	DHC	NA	36	NA	18	18	Bp	NA
DHC-Bp 18:0/20:0	SL	CER	DHC	NA	38	NA	18	20	Bp	NA
DHC-Bp 18:0/22:0	SL	CER	DHC	NA	40	NA	18	22	Bp	NA
DHC-Bp 18:0/24:0	SL	CER	DHC	NA	42	NA	18	24	Bp	NA
DHC-Bp 18:0/26:0	SL	CER	DHC	NA	44	NA	18	26	Bp	NA
DHC-Bp 20:0/14:0	SL	CER	DHC	NA	34	NA	20	14	Bp	NA
DHC-Bp 20:0/16:0	SL	CER	DHC	NA	36	NA	20	16	Bp	NA
DHC-Bp 20:0/18:0	SL	CER	DHC	NA	38	NA	20	18	Bp	NA
DHC-Bp 20:0/20:0	SL	CER	DHC	NA	40	NA	20	20	Bp	NA
DHC-Bp 20:0/22:0	SL	CER	DHC	NA	42	NA	20	22	Bp	NA
DHC-Bp 20:0/24:0	SL	CER	DHC	NA	44	NA	20	24	Bp	NA
DHC-Bp 20:0/26:0	SL	CER	DHC	NA	46	NA	20	26	Bp	NA
DLPC	IS	IS	IS	IS	IS	IS	IS	IS	IS	NA
IPC-A d32:0	SL	IPC	IPC	NA	32	NA	NA	NA	A	NA
IPC-A d34:0	SL	IPC	IPC	NA	34	NA	NA	NA	A	NA
IPC-A d36:0	SL	IPC	IPC	NA	36	NA	NA	NA	A	NA
IPC-A d38:0	SL	IPC	IPC	NA	38	NA	NA	NA	A	NA
IPC-A d40:0	SL	IPC	IPC	NA	40	NA	NA	NA	A	NA
IPC-A d42:0	SL	IPC	IPC	NA	42	NA	NA	NA	A	NA
IPC-A d44:0	SL	IPC	IPC	NA	44	NA	NA	NA	A	NA
IPC-A d46:0	SL	IPC	IPC	NA	46	NA	NA	NA	A	NA
IPC-A d48:0	SL	IPC	IPC	NA	48	NA	NA	NA	A	NA
IPC-B d/t32:0	SL	IPC	IPC	NA	32	NA	NA	NA	B	NA
IPC-B d/t34:0	SL	IPC	IPC	NA	34	NA	NA	NA	B	NA
IPC-B d/t36:0	SL	IPC	IPC	NA	36	NA	NA	NA	B	NA
IPC-B d/t38:0	SL	IPC	IPC	NA	38	NA	NA	NA	B	NA
IPC-B d/t40:0	SL	IPC	IPC	NA	40	NA	NA	NA	B	NA
IPC-B d/t42:0	SL	IPC	IPC	NA	42	NA	NA	NA	B	NA
IPC-B d/t44:0	SL	IPC	IPC	NA	44	NA	NA	NA	B	NA
IPC-B d/t46:0	SL	IPC	IPC	NA	46	NA	NA	NA	B	NA
IPC-B d/t48:0	SL	IPC	IPC	NA	48	NA	NA	NA	B	NA
IPC-C t32:0	SL	IPC	IPC	NA	32	NA	NA	NA	C	NA
IPC-C t34:0	SL	IPC	IPC	NA	34	NA	NA	NA	C	NA
IPC-C t36:0	SL	IPC	IPC	NA	36	NA	NA	NA	C	NA
