LipidName	LipidGroup	LipidClass	LipidSubClass	UnsaturationIndex	ChainLength	ChainLengthGroup	SL_LCB	SL_FA	SL_OH	CL_FA
MIPC-B d/t36:0	SL	MIPC	MIPC	NA	36	NA	NA	NA	B	NA
MIPC-B d/t38:0	SL	MIPC	MIPC	NA	38	NA	NA	NA	B	NA
MIPC-B d/t40:0	SL	MIPC	MIPC	NA	40	NA	NA	NA	B	NA
MIPC-B d/t42:0	SL	MIPC	MIPC	NA	42	NA	NA	NA	B	NA
MIPC-B d/t44:0	SL	MIPC	MIPC	NA	44	NA	NA	NA	B	NA
MIPC-B d/t46:0	SL	MIPC	MIPC	NA	46	NA	NA	NA	B	NA
MIPC-B d/t48:0	SL	MIPC	MIPC	NA	48	NA	NA	NA	B	NA
MIPC-C 18:0/14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 18:0/16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 18:0/18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 18:0/20:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 18:0/22:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 18:0/24:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 18:0/26:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/20:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/22:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/24:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C 20:0/26:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIPC-C t32:0	SL	MIPC	MIPC	NA	32	NA	NA	NA	C	NA
MIPC-C t34:0	SL	MIPC	MIPC	NA	34	NA	NA	NA	C	NA
MIPC-C t36:0	SL	MIPC	MIPC	NA	36	NA	NA	NA	C	NA
MIPC-C t38:0	SL	MIPC	MIPC	NA	38	NA	NA	NA	C	NA
MIPC-C t40:0	SL	MIPC	MIPC	NA	40	NA	NA	NA	C	NA
MIPC-C t42:0	SL	MIPC	MIPC	NA	42	NA	NA	NA	C	NA
MIPC-C t44:0	SL	MIPC	MIPC	NA	44	NA	NA	NA	C	NA
MIPC-C t46:0	SL	MIPC	MIPC	NA	46	NA	NA	NA	C	NA
MIPC-C t48:0	SL	MIPC	MIPC	NA	48	NA	NA	NA	C	NA
MIPC-D t32:0	SL	MIPC	MIPC	NA	32	NA	NA	NA	D	NA
MIPC-D t34:0	SL	MIPC	MIPC	NA	34	NA	NA	NA	D	NA
MIPC-D t36:0	SL	MIPC	MIPC	NA	36	NA	NA	NA	D	NA
MIPC-D t38:0	SL	MIPC	MIPC	NA	38	NA	NA	NA	D	NA
MIPC-D t40:0	SL	MIPC	MIPC	NA	40	NA	NA	NA	D	NA
MIPC-D t42:0	SL	MIPC	MIPC	NA	42	NA	NA	NA	D	NA
MIPC-D t44:0	SL	MIPC	MIPC	NA	44	NA	NA	NA	D	NA
MIPC-D t46:0	SL	MIPC	MIPC	NA	46	NA	NA	NA	D	NA
MIPC-D t48:0	SL	MIPC	MIPC	NA	48	NA	NA	NA	D	NA
PC26:0	PL	PC	PC	0_DB	26	short	NA	NA	NA	NA
PC26:1	PL	PC	PC	1_DB	26	short	NA	NA	NA	NA
PC26:2	PL	PC	PC	2_DB	26	short	NA	NA	NA	NA
PC28:0	PL	PC	PC	0_DB	28	short	NA	NA	NA	NA
PC28:1	PL	PC	PC	1_DB	28	short	NA	NA	NA	NA
PC28:2	PL	PC	PC	2_DB	28	short	NA	NA	NA	NA
PC30:0	PL	PC	PC	0_DB	30	short	NA	NA	NA	NA
PC30:1	PL	PC	PC	1_DB	30	short	NA	NA	NA	NA
PC30:2	PL	PC	PC	2_DB	30	short	NA	NA	NA	NA
PC31:1	IS	IS	IS	IS	IS	IS	IS	IS	IS	NA
PC32:0	PL	PC	PC	0_DB	32	short	NA	NA	NA	NA
PC32:1	PL	PC	PC	1_DB	32	short	NA	NA	NA	NA
PC32:2	PL	PC	PC	2_DB	32	short	NA	NA	NA	NA
PC34:0	PL	PC	PC	0_DB	34	long	NA	NA	NA	NA
PC34:1	PL	PC	PC	1_DB	34	long	NA	NA	NA	NA
PC34:2	PL	PC	PC	2_DB	34	long	NA	NA	NA	NA
PC36:0	PL	PC	PC	0_DB	36	long	NA	NA	NA	NA
PC36:1	PL	PC	PC	1_DB	36	long	NA	NA	NA	NA
PC36:2	PL	PC	PC	2_DB	36	long	NA	NA	NA	NA
PC38:0	PL	PC	PC	0_DB	38	long	NA	NA	NA	NA
PC38:1	PL	PC	PC	1_DB	38	long	NA	NA	NA	NA
PC38:2	PL	PC	PC	2_DB	38	long	NA	NA	NA	NA
PC40:0	PL	PC	PC	0_DB	40	long	NA	NA	NA	NA
PC40:1	PL	PC	PC	1_DB	40	long	NA	NA	NA	NA
PC40:2	PL	PC	PC	2_DB	40	long	NA	NA	NA	NA
PC42:0	PL	PC	PC	0_DB	42	very_long	NA	NA	NA	NA
PC42:1	PL	PC	PC	1_DB	42	very_long	NA	NA	NA	NA
PC42:2	PL	PC	PC	2_DB	42	very_long	NA	NA	NA	NA
PC44:0	PL	PC	PC	0_DB	44	very_long	NA	NA	NA	NA
PC44:1	PL	PC	PC	1_DB	44	very_long	NA	NA	NA	NA
PC44:2	PL	PC	PC	2_DB	44	very_long	NA	NA	NA	NA
PC46:0	PL	PC	PC	0_DB	46	very_long	NA	NA	NA	NA
PC46:1	PL	PC	PC	1_DB	46	very_long	NA	NA	NA	NA
PC46:2	PL	PC	PC	2_DB	46	very_long	NA	NA	NA	NA
PC48:0	PL	PC	PC	0_DB	48	very_long	NA	NA	NA	NA
PC48:1	PL	PC	PC	1_DB	48	very_long	NA	NA	NA	NA
PC48:2	PL	PC	PC	2_DB	48	very_long	NA	NA	NA	NA
PE26:0	PL	PE	PE	0_DB	26	short	NA	NA	NA	NA
PE26:1	PL	PE	PE	1_DB	26	short	NA	NA	NA	NA
PE26:2	PL	PE	PE	2_DB	26	short	NA	NA	NA	NA
PE28:0	PL	PE	PE	0_DB	28	short	NA	NA	NA	NA
PE28:1	PL	PE	PE	1_DB	28	short	NA	NA	NA	NA
PE28:2	PL	PE	PE	2_DB	28	short	NA	NA	NA	NA
PE30:0	PL	PE	PE	0_DB	30	short	NA	NA	NA	NA
PE30:1	PL	PE	PE	1_DB	30	short	NA	NA	NA	NA
PE30:2	PL	PE	PE	2_DB	30	short	NA	NA	NA	NA
PE31:1	IS	IS	IS	IS	IS	IS	IS	IS	IS	NA
PE32:0	PL	PE	PE	0_DB	32	short	NA	NA	NA	NA
PE32:1	PL	PE	PE	1_DB	32	short	NA	NA	NA	NA
PE32:2	PL	PE	PE	2_DB	32	short	NA	NA	NA	NA
PE34:0	PL	PE	PE	0_DB	34	long	NA	NA	NA	NA
PE34:1	PL	PE	PE	1_DB	34	long	NA	NA	NA	NA
PE34:2	PL	PE	PE	2_DB	34	long	NA	NA	NA	NA
PE36:0	PL	PE	PE	0_DB	36	long	NA	NA	NA	NA
PE36:1	PL	PE	PE	1_DB	36	long	NA	NA	NA	NA
PE36:2	PL	PE	PE	2_DB	36	long	NA	NA	NA	NA
PE38:0	PL	PE	PE	0_DB	38	long	NA	NA	NA	NA
PE38:1	PL	PE	PE	1_DB	38	long	NA	NA	NA	NA
PE38:2	PL	PE	PE	2_DB	38	long	NA	NA	NA	NA
PE40:0	PL	PE	PE	0_DB	40	long	NA	NA	NA	NA
PE40:1	PL	PE	PE	1_DB	40	long	NA	NA	NA	NA
PE40:2	PL	PE	PE	2_DB	40	long	NA	NA	NA	NA
PE42:0	PL	PE	PE	0_DB	42	very_long	NA	NA	NA	NA
PE42:1	PL	PE	PE	1_DB	42	very_long	NA	NA	NA	NA
PE42:2	PL	PE	PE	2_DB	42	very_long	NA	NA	NA	NA
PE44:0	PL	PE	PE	0_DB	44	very_long	NA	NA	NA	NA
PE44:1	PL	PE	PE	1_DB	44	very_long	NA	NA	NA	NA
PE44:2	PL	PE	PE	2_DB	44	very_long	NA	NA	NA	NA
PE46:0	PL	PE	PE	0_DB	46	very_long	NA	NA	NA	NA
PE46:1	PL	PE	PE	1_DB	46	very_long	NA	NA	NA	NA
PE46:2	PL	PE	PE	2_DB	46	very_long	NA	NA	NA	NA
PE48:0	PL	PE	PE	0_DB	48	very_long	NA	NA	NA	NA
PE48:1	PL	PE	PE	1_DB	48	very_long	NA	NA	NA	NA
PE48:2	PL	PE	PE	2_DB	48	very_long	NA	NA	NA	NA
PHC-B 18:0/14:0	SL	CER	PHC	NA	32	NA	18	14	B	NA
PHC-B 18:0/16:0	SL	CER	PHC	NA	34	NA	18	16	B	NA
PHC-B 18:0/18:0	SL	CER	PHC	NA	36	NA	18	18	B	NA
PHC-B 18:0/20:0	SL	CER	PHC	NA	38	NA	18	20	B	NA
PHC-B 18:0/22:0	SL	CER	PHC	NA	40	NA	18	22	B	NA
PHC-B 18:0/24:0	SL	CER	PHC	NA	42	NA	18	24	B	NA
PHC-B 18:0/26:0	SL	CER	PHC	NA	44	NA	18	26	B	NA
PHC-B 20:0/14:0	SL	CER	PHC	NA	34	NA	20	14	B	NA
PHC-B 20:0/16:0	SL	CER	PHC	NA	36	NA	20	16	B	NA
PHC-B 20:0/18:0	SL	CER	PHC	NA	38	NA	20	18	B	NA
PHC-B 20:0/20:0	SL	CER	PHC	NA	40	NA	20	20	B	NA
PHC-B 20:0/22:0	SL	CER	PHC	NA	42	NA	20	22	B	NA
PHC-B 20:0/24:0	SL	CER	PHC	NA	44	NA	20	24	B	NA
PHC-B 20:0/26:0	SL	CER	PHC	NA	46	NA	20	26	B	NA
PHC-C 18:0/14:0	SL	CER	PHC	NA	32	NA	18	14	C	NA
PHC-C 18:0/16:0	SL	CER	PHC	NA	34	NA	18	16	C	NA
PHC-C 18:0/18:0	SL	CER	PHC	NA	36	NA	18	18	C	NA
PHC-C 18:0/20:0	SL	CER	PHC	NA	38	NA	18	20	C	NA
PHC-C 18:0/22:0	SL	CER	PHC	NA	40	NA	18	22	C	NA
PHC-C 18:0/24:0	SL	CER	PHC	NA	42	NA	18	24	C	NA
PHC-C 18:0/26:0	SL	CER	PHC	NA	44	NA	18	26	C	NA
PHC-C 20:0/14:0	SL	CER	PHC	NA	34	NA	20	14	C	NA
PHC-C 20:0/16:0	SL	CER	PHC	NA	36	NA	20	16	C	NA
PHC-C 20:0/18:0	SL	CER	PHC	NA	38	NA	20	18	C	NA
PHC-C 20:0/20:0	SL	CER	PHC	NA	40	NA	20	20	C	NA
PHC-C 20:0/22:0	SL	CER	PHC	NA	42	NA	20	22	C	NA
PHC-C 20:0/24:0	SL	CER	PHC	NA	44	NA	20	24	C	NA
PHC-C 20:0/26:0	SL	CER	PHC	NA	46	NA	20	26	C	NA
PHC-D 18:0/14:0	SL	CER	PHC	NA	32	NA	18	14	D	NA
PHC-D 18:0/16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHC-D 18:0/18:0	SL	CER	PHC	NA	36	NA	18	18	D	NA
PHC-D 18:0/20:0	SL	CER	PHC	NA	38	NA	18	20	D	NA
PHC-D 18:0/22:0	SL	CER	PHC	NA	40	NA	18	22	D	NA
PHC-D 18:0/24:0	SL	CER	PHC	NA	42	NA	18	24	D	NA
PHC-D 18:0/26:0	SL	CER	PHC	NA	44	NA	18	26	D	NA
PHC-D 20:0/14:0	SL	CER	PHC	NA	34	NA	20	14	D	NA
PHC-D 20:0/16:0	SL	CER	PHC	NA	36	NA	20	16	D	NA
PHC-D 20:0/18:0	SL	CER	PHC	NA	38	NA	20	18	D	NA
PHC-D 20:0/20:0	SL	CER	PHC	NA	40	NA	20	20	D	NA
PHC-D 20:0/22:0	SL	CER	PHC	NA	42	NA	20	22	D	NA
PHC-D 20:0/24:0	SL	CER	PHC	NA	44	NA	20	24	D	NA
PHC-D 20:0/26:0	SL	CER	PHC	NA	46	NA	20	26	NA	NA
PI26:0	PL	PI	PI	0_DB	26	short	NA	NA	NA	NA
PI26:1	PL	PI	PI	1_DB	26	short	NA	NA	NA	NA
PI26:2	PL	PI	PI	2_DB	26	short	NA	NA	NA	NA
PI28:0	PL	PI	PI	0_DB	28	short	NA	NA	NA	NA
PI28:1	PL	PI	PI	1_DB	28	short	NA	NA	NA	NA
PI28:2	PL	PI	PI	2_DB	28	short	NA	NA	NA	NA
PI30:0	PL	PI	PI	0_DB	30	short	NA	NA	NA	NA
PI30:1	PL	PI	PI	1_DB	30	short	NA	NA	NA	NA
PI30:2	PL	PI	PI	2_DB	30	short	NA	NA	NA	NA
PI31:1	IS	IS	IS	IS	IS	IS	IS	IS	IS	NA
PI32:0	PL	PI	PI	0_DB	32	short	NA	NA	NA	NA
PI32:1	PL	PI	PI	1_DB	32	short	NA	NA	NA	NA
PI32:2	PL	PI	PI	2_DB	32	short	NA	NA	NA	NA
PI34:0	PL	PI	PI	0_DB	34	long	NA	NA	NA	NA
PI34:1	PL	PI	PI	1_DB	34	long	NA	NA	NA	NA
PI34:2	PL	PI	PI	2_DB	34	long	NA	NA	NA	NA
PI36:0	PL	PI	PI	0_DB	36	long	NA	NA	NA	NA
PI36:1	PL	PI	PI	1_DB	36	long	NA	NA	NA	NA
PI36:2	PL	PI	PI	2_DB	36	long	NA	NA	NA	NA
PI38:0	PL	PI	PI	0_DB	38	long	NA	NA	NA	NA
PI38:1	PL	PI	PI	1_DB	38	long	NA	NA	NA	NA
PI38:2	PL	PI	PI	2_DB	38	long	NA	NA	NA	NA
PI40:0	PL	PI	PI	0_DB	40	long	NA	NA	NA	NA
PI40:1	PL	PI	PI	1_DB	40	long	NA	NA	NA	NA
PI40:2	PL	PI	PI	2_DB	40	long	NA	NA	NA	NA
PI42:0	PL	PI	PI	0_DB	42	very_long	NA	NA	NA	NA
PI42:1	PL	PI	PI	1_DB	42	very_long	NA	NA	NA	NA
PI42:2	PL	PI	PI	2_DB	42	very_long	NA	NA	NA	NA
PI44:0	PL	PI	PI	0_DB	44	very_long	NA	NA	NA	NA
PI44:1	PL	PI	PI	1_DB	44	very_long	NA	NA	NA	NA
PI44:2	PL	PI	PI	2_DB	44	very_long	NA	NA	NA	NA
PI46:0	PL	PI	PI	0_DB	46	very_long	NA	NA	NA	NA
PI46:1	PL	PI	PI	1_DB	46	very_long	NA	NA	NA	NA
PI46:2	PL	PI	PI	2_DB	46	very_long	NA	NA	NA	NA
PI48:0	PL	PI	PI	0_DB	48	very_long	NA	NA	NA	NA
PI48:1	PL	PI	PI	1_DB	48	very_long	NA	NA	NA	NA
PI48:2	PL	PI	PI	2_DB	48	very_long	NA	NA	NA	NA
PS26:0	PL	PS	PS	0_DB	26	short	NA	NA	NA	NA
PS26:1	PL	PS	PS	1_DB	26	short	NA	NA	NA	NA
PS26:2	PL	PS	PS	2_DB	26	short	NA	NA	NA	NA
PS28:0	PL	PS	PS	0_DB	28	short	NA	NA	NA	NA
PS28:1	PL	PS	PS	1_DB	28	short	NA	NA	NA	NA
PS28:2	PL	PS	PS	2_DB	28	short	NA	NA	NA	NA
PS30:0	PL	PS	PS	0_DB	30	short	NA	NA	NA	NA
PS30:1	PL	PS	PS	1_DB	30	short	NA	NA	NA	NA
PS30:2	PL	PS	PS	2_DB	30	short	NA	NA	NA	NA
PS31:1	IS	IS	IS	IS	IS	IS	IS	IS	IS	NA
PS32:0	PL	PS	PS	0_DB	32	short	NA	NA	NA	NA
PS32:1	PL	PS	PS	1_DB	32	short	NA	NA	NA	NA
PS32:2	PL	PS	PS	2_DB	32	short	NA	NA	NA	NA
PS34:0	PL	PS	PS	0_DB	34	long	NA	NA	NA	NA
PS34:1	PL	PS	PS	1_DB	34	long	NA	NA	NA	NA
PS34:2	PL	PS	PS	2_DB	34	long	NA	NA	NA	NA
PS36:0	PL	PS	PS	0_DB	36	long	NA	NA	NA	NA
PS36:1	PL	PS	PS	1_DB	36	long	NA	NA	NA	NA
PS36:2	PL	PS	PS	2_DB	36	long	NA	NA	NA	NA
PS38:0	PL	PS	PS	0_DB	38	long	NA	NA	NA	NA
PS38:1	PL	PS	PS	1_DB	38	long	NA	NA	NA	NA
PS38:2	PL	PS	PS	2_DB	38	long	NA	NA	NA	NA
PS40:0	PL	PS	PS	0_DB	40	long	NA	NA	NA	NA
PS40:1	PL	PS	PS	1_DB	40	long	NA	NA	NA	NA
PS40:2	PL	PS	PS	2_DB	40	long	NA	NA	NA	NA
PS42:0	PL	PS	PS	0_DB	42	very_long	NA	NA	NA	NA
PS42:1	PL	PS	PS	1_DB	42	very_long	NA	NA	NA	NA
PS42:2	PL	PS	PS	2_DB	42	very_long	NA	NA	NA	NA
PS44:0	PL	PS	PS	0_DB	44	very_long	NA	NA	NA	NA
PS44:1	PL	PS	PS	1_DB	44	very_long	NA	NA	NA	NA
PS44:2	PL	PS	PS	2_DB	44	very_long	NA	NA	NA	NA
PS46:0	PL	PS	PS	0_DB	46	very_long	NA	NA	NA	NA
PS46:1	PL	PS	PS	1_DB	46	very_long	NA	NA	NA	NA
PS46:2	PL	PS	PS	2_DB	46	very_long	NA	NA	NA	NA
PS48:0	PL	PS	PS	0_DB	48	very_long	NA	NA	NA	NA
PS48:1	PL	PS	PS	1_DB	48	very_long	NA	NA	NA	NA
PS48:2	PL	PS	PS	2_DB	48	very_long	NA	NA	NA	NA
